Res_at_0.2,Res_at_0.3,Res_at_0.4,Res_at_0.5,Res_at_0.6,Res_at_0.7,Res_at_0.8,Res_at_0.9
177.6923076923077,175.5769230769231,183.33333333333334,179.80769230769232,179.80769230769232,181.9230769230769,185.49019607843135,187.6470588235294
175.5769230769231,175.5769230769231,179.80769230769232,179.80769230769232,179.80769230769232,179.80769230769232,185.49019607843135,185.49019607843135
173.46153846153845,175.5769230769231,177.6923076923077,179.80769230769232,181.9230769230769,185.49019607843135,181.9230769230769,187.6470588235294
173.46153846153845,175.5769230769231,179.80769230769232,183.33333333333334,181.9230769230769,181.9230769230769,181.9230769230769,187.6470588235294
173.46153846153845,175.5769230769231,183.33333333333334,181.1764705882353,181.9230769230769,185.49019607843135,185.49019607843135,185.49019607843135
173.46153846153845,175.5769230769231,177.6923076923077,181.9230769230769,179.80769230769232,185.49019607843135,185.49019607843135,185.49019607843135
171.34615384615387,177.6923076923077,183.33333333333334,179.80769230769232,177.6923076923077,185.49019607843135,184.03846153846152,185.49019607843135
173.46153846153845,175.5769230769231,179.80769230769232,181.1764705882353,185.49019607843135,183.33333333333334,184.03846153846152,187.6470588235294
173.46153846153845,173.46153846153845,177.6923076923077,179.80769230769232,183.33333333333334,185.49019607843135,181.9230769230769,189.80392156862746
173.46153846153845,175.5769230769231,177.6923076923077,179.80769230769232,181.9230769230769,181.9230769230769,185.49019607843135,181.9230769230769
171.34615384615387,175.5769230769231,177.6923076923077,177.6923076923077,183.33333333333334,179.80769230769232,185.49019607843135,181.9230769230769
171.34615384615387,175.5769230769231,177.6923076923077,179.80769230769232,181.9230769230769,181.9230769230769,183.33333333333334,183.33333333333334
173.46153846153845,175.5769230769231,177.6923076923077,179.80769230769232,183.33333333333334,185.49019607843135,185.49019607843135,185.49019607843135
173.46153846153845,175.5769230769231,177.6923076923077,183.33333333333334,185.49019607843135,181.9230769230769,181.9230769230769,187.6470588235294
173.46153846153845,175.5769230769231,181.1764705882353,181.1764705882353,181.9230769230769,179.80769230769232,187.6470588235294,181.9230769230769
173.46153846153845,175.5769230769231,177.6923076923077,181.1764705882353,179.80769230769232,179.80769230769232,181.9230769230769,185.49019607843135
171.34615384615387,173.46153846153845,177.6923076923077,179.80769230769232,181.1764705882353,181.1764705882353,185.49019607843135,185.49019607843135
171.34615384615387,175.5769230769231,181.1764705882353,181.1764705882353,183.33333333333334,179.80769230769232,185.49019607843135,181.9230769230769
171.34615384615387,173.46153846153845,177.6923076923077,183.33333333333334,185.49019607843135,185.49019607843135,181.9230769230769,187.6470588235294
171.34615384615387,175.5769230769231,177.6923076923077,181.1764705882353,183.33333333333334,181.9230769230769,183.33333333333334,184.03846153846152
171.34615384615387,173.46153846153845,179.01960784313727,185.49019607843135,185.49019607843135,181.9230769230769,185.49019607843135,181.9230769230769
171.34615384615387,173.46153846153845,175.5769230769231,179.80769230769232,183.33333333333334,179.80769230769232,185.49019607843135,179.80769230769232
171.34615384615387,177.6923076923077,177.6923076923077,177.6923076923077,181.9230769230769,179.80769230769232,185.49019607843135,181.9230769230769
171.34615384615387,173.46153846153845,183.33333333333334,179.80769230769232,179.80769230769232,183.33333333333334,181.9230769230769,181.9230769230769
171.34615384615387,175.5769230769231,179.80769230769232,183.33333333333334,179.80769230769232,183.33333333333334,185.49019607843135,185.49019607843135
171.34615384615387,173.46153846153845,177.6923076923077,177.6923076923077,183.33333333333334,185.49019607843135,179.80769230769232,185.49019607843135
171.34615384615387,173.46153846153845,181.1764705882353,181.1764705882353,185.49019607843135,181.9230769230769,185.49019607843135,185.49019607843135
169.23076923076923,171.34615384615387,177.6923076923077,181.1764705882353,185.49019607843135,183.33333333333334,183.33333333333334,181.9230769230769
169.23076923076923,173.46153846153845,175.5769230769231,177.6923076923077,181.1764705882353,179.80769230769232,179.80769230769232,185.49019607843135
167.1153846153846,173.46153846153845,181.1764705882353,181.1764705882353,183.33333333333334,181.9230769230769,181.9230769230769,184.03846153846152
167.1153846153846,173.46153846153845,177.6923076923077,181.1764705882353,181.9230769230769,183.33333333333334,181.9230769230769,185.49019607843135
167.1153846153846,173.46153846153845,173.46153846153845,181.1764705882353,179.80769230769232,185.49019607843135,183.33333333333334,181.9230769230769
167.1153846153846,175.5769230769231,177.6923076923077,175.5769230769231,181.1764705882353,179.80769230769232,183.33333333333334,181.9230769230769
167.1153846153846,175.5769230769231,175.5769230769231,181.1764705882353,183.33333333333334,179.80769230769232,179.80769230769232,183.33333333333334
167.1153846153846,171.34615384615387,175.5769230769231,177.6923076923077,179.80769230769232,179.80769230769232,183.33333333333334,185.49019607843135
163.96226415094338,173.46153846153845,177.6923076923077,177.6923076923077,183.33333333333334,181.9230769230769,185.49019607843135,181.9230769230769
167.1153846153846,171.34615384615387,175.5769230769231,177.6923076923077,179.80769230769232,179.80769230769232,179.80769230769232,181.9230769230769
167.1153846153846,171.34615384615387,177.6923076923077,181.1764705882353,179.80769230769232,179.80769230769232,181.9230769230769,185.49019607843135
165.0,173.46153846153845,175.5769230769231,177.6923076923077,179.80769230769232,185.49019607843135,185.49019607843135,187.6470588235294
159.81132075471697,171.34615384615387,179.01960784313727,177.6923076923077,179.80769230769232,179.80769230769232,179.80769230769232,185.49019607843135
165.0,171.34615384615387,175.5769230769231,177.6923076923077,181.1764705882353,183.33333333333334,181.9230769230769,187.6470588235294
162.8846153846154,171.34615384615387,175.5769230769231,177.6923076923077,181.9230769230769,183.33333333333334,179.80769230769232,185.49019607843135
